# Unicode character frequencies computed on dumps of all wikipedia languages (288)
# Dumps downloader: https://github.com/aesuli/wikipediatools
# Html converted to plain text: https://github.com/aesuli/wikipedia-extractor
#
# Andrea Esuli
# http://www.esuli.it/
#
#'char'<tab>ord(char)<tab>freq
'キ'	12461	1046373
'ű'	369	1046248
'民'	27665	1044871
'ビ'	12499	1043450
'도'	46020	1040886
'ી'	2752	1031905
'为'	20026	1024299
'北'	21271	1019795
'小'	23567	1018530
'۱'	1777	1017117
'โ'	3650	1016868
'軍'	36557	1014823
'全'	20840	1012159
'ရ'	4123	1012069
'内'	20869	1009909
'হ'	2489	1007303
'手'	25163	1007099
'ख'	2326	1006064
'ત'	2724	1003517
'海'	28023	1003407
'教'	25945	1001740
'ර'	3515	1001584
'業'	26989	998856
'特'	29305	998540
'ා'	3535	995017
'+'	43	993876
'ĝ'	285	993545
'인'	51064	989809
'년'	45380	989330
'性'	24615	985840
'ක'	3482	985173
'ظ'	1592	984851
'表'	34920	983564
'社'	31038	982332
'ū'	363	981797
'ơ'	417	981276
'ズ'	12474	978833
'ء'	1569	975883
'平'	24179	974604
'റ'	3377	973729
'南'	21335	973380
'ए'	2319	970181
'度'	24230	965024
'理'	29702	960604
'目'	30446	959700
'ક'	2709	952588
'스'	49828	951099
'વ'	2741	948354
'パ'	12497	937556
'ち'	12385	937142
'ղ'	1394	935615
'ু'	2497	931123
'車'	36554	931095
'加'	21152	931076
'দ'	2470	928076
'機'	27231	925175
'இ'	2951	924410
'期'	26399	922511
'区'	21306	919252
'國'	22283	913661
'体'	20307	910525
'ở'	7903	906486
'စ'	4101	901340
'力'	21147	899222
'ダ'	12480	898834
'ェ'	12455	898040
'ხ'	4334	896622
'့'	4151	893355
'ន'	6035	886256
'ම'	3512	885979
'Ц'	1062	885782
'?'	63	884512
'設'	35373	883576
'三'	19977	879682
'ï'	239	878732
'́'	769	877524
'Đ'	272	874533
'इ'	2311	872493
'於'	26044	872114
'ച'	3354	871993
'։'	1417	869306
'線'	32218	869160
'当'	24403	866673
'ศ'	3624	864635
'ண'	2979	864137
'使'	20351	862278
'之'	20043	861801
'ಡ'	3233	861302
'外'	22806	859662
'式'	24335	855041
'ත'	3501	854577
'အ'	4129	852132
'ำ'	3635	851768
'面'	38754	845191
'उ'	2313	842508
'等'	31561	841317
'ં'	2690	838876
'자'	51088	838359
'ミ'	12511	837286
'由'	30001	834899
'能'	33021	834874
'բ'	1378	833608
'일'	51068	833064
'利'	21033	830645
'어'	50612	828802
'է'	1383	825582
'ണ'	3363	821940
'任'	20219	818417
'可'	21487	818260
'आ'	2310	817885
'아'	50500	817771
'Ö'	214	817244
'있'	51080	815536
'அ'	2949	811896
'ք'	1412	811626
'ಹ'	3257	807667
'明'	26126	807501
'ứ'	7913	804667
'数'	25968	801570
'州'	24030	801110
'及'	21450	797687
'：'	65306	796637
'պ'	1402	795747
'み'	12415	795286
'গ'	2455	792583
'រ'	6042	787058
'初'	21021	786990
'ས'	3942	786840
'ള'	3379	786573
'라'	46972	785254
'ည'	4106	783911
'Ж'	1046	782640
'ಟ'	3231	780582
'수'	49688	774026
'得'	24471	773811
'ಬ'	3244	773735
'나'	45208	773621
'斯'	26031	769876
'ှ'	4158	765794
'ీ'	3136	765001
'û'	251	762786
'ె'	3142	761955
'Я'	1071	761168
'ස'	3523	760717
'ც'	4330	760005
'ћ'	1115	759888
'জ'	2460	757879
'ば'	12400	756353
'原'	21407	751502
'လ'	4124	750392
'水'	27700	746340
'建'	24314	743409
'부'	48512	743133
'せ'	12379	742523
'口'	21475	742222
'ョ'	12519	742147
'ွ'	4157	741586
'選'	36984	739688
'都'	37117	738822
'ਾ'	2622	738533
'校'	26657	737612
'ெ'	3014	736789
'І'	1030	736488
'Ü'	220	734378
'그'	44536	733051
'田'	30000	732018
'전'	51204	730654
'二'	20108	729290
'ျ'	4155	728769
'路'	36335	726880
'制'	21046	725907
'ً'	1611	725318
'ף'	1507	724821
'其'	20854	724218
'ট'	2463	723929
'対'	23550	723672
'İ'	304	720573
'次'	27425	719169
'정'	51221	717604
'王'	29579	717241
'ු'	3540	712416
'元'	20803	712144
'۰'	1776	711905
'天'	22825	709428
'来'	26469	707748
'Α'	913	705851
'共'	20849	705368
'국'	44397	701855
'じ'	12376	700693
'ź'	378	699619
'되'	46104	699288
'治'	27835	698059
'Š'	352	697391
'》'	12299	695207
'《'	12298	695181
'于'	20110	694078
'到'	21040	691531
'員'	21729	691394
'ே'	3015	689775
'形'	24418	689077
'ો'	2763	688330
'ベ'	12505	688042
'ึ'	3638	685054
'回'	22238	684607
'正'	27491	683845
'重'	37325	683618
'品'	21697	682523
'ハ'	12495	682269
'セ'	12475	681976
'ʻ'	699	681419
'ŭ'	365	678759
'ခ'	4097	678015
'台'	21488	677517
'語'	35486	676152
'川'	24029	675848
'ങ'	3353	675702
'అ'	3077	675508
'女'	22899	672980
'['	91	667958
'モ'	12514	666588
'ো'	2507	665630
'과'	44284	664889
'წ'	4332	662749
'շ'	1399	661982
'被'	34987	661702
'해'	54644	659023
'પ'	2730	657904
'金'	37329	657349
'関'	38306	655734
'工'	24037	655632
'ծ'	1390	655305
'記'	35352	655257
'ξ'	958	654115
'県'	30476	652504
'連'	36899	651658
'受'	21463	650210
'見'	35211	648023
'લ'	2738	647860
'ក'	6016	646525
'સ'	2744	646416
'주'	51452	641177
'組'	32068	639527
'ય'	2735	637421
'ქ'	4325	636107
'#'	35	636022
'電'	38651	635377
'个'	20010	635359
'ネ'	12493	634990
'ツ'	12484	633113
'ই'	2439	632096
'ೇ'	3271	631182
'科'	31185	630495
'而'	32780	630219
'画'	30011	628587
'へ'	12408	625918
'演'	28436	625693
'었'	50632	625116
'界'	30028	621352
'身'	36523	621341
'活'	27963	621096
'島'	23798	620965
'제'	51228	620247
'Ю'	1070	618764
'放'	25918	617773
'ữ'	7919	617482
'京'	20140	612881
'ĕ'	277	611160
'美'	32654	610326
'শ'	2486	609439
